status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.slideshow_credits,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,A dispute over standards to govern the disposal of coal ash should be resolved in favor of the environment and public safety.,https://www.nytimes.com/2010/01/20/opinion/20wed4.html,A dispute over standards to govern the disposal of coal ash should be resolved in favor of the environment and public safety.," Just more than a year ago, one billion gallons of toxic coal sludge broke loose from a containment pond belonging to the Tennessee Valley Authority, burying hundreds of acres of Roane County in eastern Tennessee and threatening local water supplies and air quality. The Environmental Protection Agency immediately promised new national standards governing the disposal of coal ash to replace a patchwork of uneven  and in many cases weak  state regulations. ",A,20,The New York Times,,,2010-01-20T03:25:38+0000,article,Editorial,Opinion,Editorial,nyt://article/d6cac582-27c6-56db-8665-6fcad37c59da,385,nyt://article/d6cac582-27c6-56db-8665-6fcad37c59da,NA,NA,The Coal Ash Case,Editorial,NA,The Coal Ash Case,NA,NA,NA,NA,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Coal ash is a national problem demanding a national response.,https://www.nytimes.com/2010/09/06/opinion/06mon4.html,Coal ash is a national problem demanding a national response.," In December 2008, a gigantic storage pond belonging to the Tennessee Valley Authority near Kingston, Tenn., effectively burst at the seams, spilling a billion gallons of mainly toxic coal ash from a T.V.A. power plant into surrounding lands and rivers.",A,18,The New York Times,,,2010-09-06T01:36:55+0000,article,Editorial,Opinion,Editorial,nyt://article/bdb536bb-bacb-5562-8e09-3ef7f1160d9b,423,nyt://article/bdb536bb-bacb-5562-8e09-3ef7f1160d9b,NA,NA,Unsolved Coal Ash Problem,Editorial,NA,Unsolved Coal Ash Problem,NA,NA,NA,NA,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Most coal byproduct dumps in the U.S. are unregulated, but they contain chemicals that threaten health.",https://www.nytimes.com/2009/01/07/us/07sludge.html,"Most coal byproduct dumps in the U.S. are unregulated, but they contain chemicals that threaten health.","The coal ash pond that ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee last month was only one of more than 1,300 similar dumps across the United States — most of them unregulated and unmonitored — that contain billions more gallons of fly ash and other byproducts of burning coal.",A,1,The New York Times,,,2009-01-06T22:31:22+0000,article,National,U.S.,News,nyt://article/55a7112c-b509-5475-9d14-68e6abc26337,1466,nyt://article/55a7112c-b509-5475-9d14-68e6abc26337,NA,NA,Hundreds of Coal Ash Dumps Lack Regulation,NA,NA,"Hundreds of Coal Ash Dumps, With Virtually No Regulation",NA,NA,NA,By Shaila Dewan,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"An animated graphic by the Center for Energy, Environment and Sustainability at Wake Forest University shows the aftermath of the coal ash pond rupture at Duke Energy’s Dan River Steam Station.",https://www.nytimes.com/video/us/100000002741186/aftermath-of-coal-ash-pond-rupture.html,"An animated graphic by the Center for Energy, Environment and Sustainability at Wake Forest University shows the aftermath of the coal ash pond rupture at Duke Energy’s Dan River Steam Station.","An animated graphic by the Center for Energy, Environment and Sustainability at Wake Forest University shows the aftermath of the coal ash pond rupture at Duke Energy’s Dan River Steam Station.",NA,NA,The New York Times,,,2014-02-28T18:41:35+0000,multimedia,National,U.S.,Video,nyt://video/2739b714-52a7-55e9-8388-d6af9df0570a,0,nyt://video/2739b714-52a7-55e9-8388-d6af9df0570a,NA,NA,Aftermath of Coal Ash Pond Rupture,NA,NA,NA,NA,NA,NA,NA,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,A coal ash pond ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee.,https://www.nytimes.com/slideshow/2009/01/07/us/0107-COALASH_index.html,A coal ash pond ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee.,A coal ash pond ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee.,NA,NA,The New York Times,,,2011-06-11T05:01:51+0000,multimedia,U.S.,U.S.,Slideshow,nyt://slideshow/4fbbbc03-b50b-5729-9b8f-90edd5fc8f5f,0,nyt://slideshow/4fbbbc03-b50b-5729-9b8f-90edd5fc8f5f,"J. Miles Cary/Knoxville News Sentinel, via Associated Press",NA,Toxic Coal Ash Spill in Tennessee,NA,NA,NA,NA,NA,NA,NA,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The Natural Resource Defense Council identifies the states most likely to see increases in coal ash waste, based on pending coal plant projects.",https://green.blogs.nytimes.com/2009/03/12/the-quarrel-over-coal-ash-waste/,"The Natural Resource Defense Council identifies the states most likely to see increases in coal ash waste, based on pending coal plant projects.",The Natural Resources Defense Council on Thursday released a list of what it called the top 15 “filthy” states where plans to build new coal-fired power plants will lead to the production of 14 million additional tons of coal ash waste each year.,NA,NA,The New York Times,,,2009-03-12T21:47:23+0000,article,,Science,News,nyt://article/7c20f36a-e2b5-5614-b824-0c9049ea28d5,375,nyt://article/7c20f36a-e2b5-5614-b824-0c9049ea28d5,NA,Environment,The Quarrel Over Coal Ash Waste,Green,NA,NA,NA,NA,NA,By Libby Tucker,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Controversy brews in Massachusetts over whether reprocessed coal-ash should count as a carbon offset.,https://green.blogs.nytimes.com/2009/01/07/carbon-credit-for-reprocessed-coal-ash/,Controversy brews in Massachusetts over whether reprocessed coal-ash should count as a carbon offset.,"Coal-ash — the coal-plant byproduct that recently spilled from a pond in Tennessee, spreading toxic chemicals far and wide — often ends up in a dump, as my colleague Shaila Dewan wrote in a front-page article today.",NA,NA,The New York Times,,,2009-01-07T17:45:12+0000,article,,Science,News,nyt://article/171d71b8-6e3a-5e7c-bd2e-6e6b6abb1f9a,389,nyt://article/171d71b8-6e3a-5e7c-bd2e-6e6b6abb1f9a,NA,Environment,Carbon Credit for Reprocessed Coal Ash?,Green,NA,NA,NA,NA,NA,By Kate Galbraith,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The E.P.A.’s long-awaited proposal to regulate coal ash did not satisfy environmentalists, who wanted stricter regulation.",https://www.nytimes.com/2010/05/05/us/05coal.html,"The E.P.A.’s long-awaited proposal to regulate coal ash did not satisfy environmentalists, who wanted stricter regulation.","The Environmental Protection Agency issued a long-awaited proposal Tuesday to regulate coal ash, the toxic byproduct of burning coal to produce power. But the agency deferred a decision on whether to treat it as hazardous waste, drawing criticism from environmentalists who had hoped for a stronger stance. ",A,13,The New York Times,,,2010-05-05T00:13:27+0000,article,National,U.S.,News,nyt://article/29106f77-8ba2-5719-9584-1a5383fa7a57,572,nyt://article/29106f77-8ba2-5719-9584-1a5383fa7a57,NA,NA,E.P.A.’s Plan to Regulate Coal Ash Draws Criticism,NA,NA,E.P.A. Issues A Proposal To Regulate Coal Ash,NA,NA,NA,By Shaila Dewan,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"A billion gallons of coal ash breached a holding pond at a Tennessee power plant, reigniting a debate over the safety of the byproduct of clean coal technology.",https://www.nytimes.com/video/us/1194837439034/coal-ash-spill-raises-broader-questions.html,"A billion gallons of coal ash breached a holding pond at a Tennessee power plant, reigniting a debate over the safety of the byproduct of clean coal technology.","A billion gallons of coal ash breached a holding pond at a Tennessee power plant, reigniting a debate over the safety of the byproduct of clean coal technology.",NA,NA,The New York Times,,,2009-01-07T03:16:18+0000,multimedia,National,U.S.,Video,nyt://video/730a95f7-3599-5c50-817f-87e81cfc7e5b,0,nyt://video/730a95f7-3599-5c50-817f-87e81cfc7e5b,NA,NA,Coal Ash Spill Raises Broader Questions,NA,NA,NA,NA,NA,NA,Rob Harris,,NA,417,0,24
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The Tennessee Valley Authority has played down the risks of what may be the nation’s largest spill of coal ash, but there are questions about its potential toxicity.",https://www.nytimes.com/2008/12/25/us/25sludge.html,"The Tennessee Valley Authority has played down the risks of what may be the nation’s largest spill of coal ash, but there are questions about its potential toxicity.","KINGSTON, Tenn.  What may be the nation’s largest spill of coal ash lay thick and largely untouched over hundreds of acres of land and waterways Wednesday after a dam broke this week, as officials and environmentalists argued over its potential toxicity.",A,1,The New York Times,,,2008-12-25T02:44:50+0000,article,National,U.S.,News,nyt://article/edf7b135-a6a4-5eee-afee-69e075c765a4,1534,nyt://article/edf7b135-a6a4-5eee-afee-69e075c765a4,NA,NA,Coal Ash Spill Revives Issue of Its Hazards,NA,NA,COAL ASH FLOOD REVIVES DEBATE ABOUT HAZARDS,NA,NA,NA,By Shaila Dewan,,NA,417,0,24
